timestamp,amplitude
1774605279.8585677,73
1774605279.8744502,73
1774605279.8905623,71
1774605279.9063668,73
1774605279.9223592,71
1774605279.9384277,69
1774605279.9547489,65
1774605279.970593,61
1774605279.9865832,61
1774605280.002442,77
1774605280.018395,109
1774605280.0344212,151
1774605280.0504837,202
1774605280.066727,252
1774605280.0827823,254
1774605280.0985882,226
1774605280.1146142,187
1774605280.1307247,166
1774605280.1468246,168
1774605280.162702,225
1774605280.178654,293
1774605280.1946628,325
1774605280.210923,311
1774605280.2266557,268
1774605280.2427163,208
1774605280.2587113,151
1774605280.2748213,152
1774605280.2907746,216
1774605280.3066554,309
1774605280.3226368,386
1774605280.3386195,409
1774605280.3548396,398
1774605280.3708215,336
1774605280.386864,253
1774605280.402646,225
1774605280.4187,293
1774605280.4347932,362
1774605280.4509037,451
1774605280.46672,494
1774605280.4826558,458
1774605280.4988544,378
1774605280.5148563,305
1774605280.5306969,212
1774605280.5467827,187
1774605280.5630274,258
1774605280.5791078,356
1774605280.5951183,444
1774605280.6113417,469
1774605280.626872,473
1774605280.6427996,449
1774605280.6588023,401
1774605280.6747108,434
1774605280.690688,564
1774605280.7066703,631
1774605280.7227452,629
1774605280.7387662,628
1774605280.7548795,583
1774605280.770514,553
1774605280.7868166,552
1774605280.8027394,515
1774605280.8187435,453
1774605280.8349051,368
1774605280.8507016,238
1774605280.8666131,213
1774605280.8829484,267
1774605280.8987854,376
1774605280.914729,531
1774605280.9308875,725
1774605280.946841,878
1774605280.9626436,993
1774605280.978824,1030
1774605280.994821,969
1774605281.0107756,837
1774605281.026739,641
1774605281.0427287,457
1774605281.0588906,308
1774605281.074994,209
1774605281.0908518,145
1774605281.106825,101
1774605281.122762,75
1774605281.1387548,60
1774605281.1548514,56
1774605281.1708634,54
1774605281.1868484,63
1774605281.2028282,74
1774605281.2186856,82
1774605281.23479,88
1774605281.250675,93
1774605281.2668033,95
1774605281.2827897,100
1774605281.2987227,106
1774605281.315358,111
1774605281.3307946,112
1774605281.3473642,113
1774605281.3628917,113
1774605281.3793423,111
1774605281.3953476,111
1774605281.411353,110
1774605281.4275076,110
1774605281.4429462,106
1774605281.4590561,108
1774605281.4748175,107
1774605281.4909394,106
1774605281.5070105,102
1774605281.522895,98
1774605281.5389276,94
1774605281.5547497,88
1774605281.5708966,89
1774605281.586819,87
1774605281.6030357,89
1774605281.6188312,85
1774605281.6347494,81
